"Month","Total Uploaded Duration","Total Created Duration","Total Published Duration"
"Mar, 2025","48:22:18","82:44:10","01:18:44"
"Apr, 2025","53:44:10","92:18:22","01:32:18"
"May, 2025","57:18:44","98:44:10","01:44:30"
"Jun, 2025","50:44:22","88:18:44","01:24:18"
"Jul, 2025","46:22:10","80:44:18","01:08:44"
"Aug, 2025","40:44:18","70:22:10","00:52:30"
"Sep, 2025","44:18:44","76:44:22","01:04:18"
"Oct, 2025","52:44:10","90:18:44","01:38:22"
"Nov, 2025","56:18:22","96:44:10","01:52:10"
"Dec, 2025","48:44:18","82:18:44","01:22:44"
"Jan, 2026","53:22:10","92:44:18","01:42:30"
"Feb, 2026","55:44:22","94:22:44","01:36:18"
